Ticker,Date/Time,Open,High,Low,Close,Volume,ZigZag05,ZigZag10,ZigZag15
S50IF_CONOI,07/08/2019 10:00:00,1096.8000,1096.8000,1094.4000,1094.5000,9575.0000,1095.8344,1095.8344,1095.8344
S50IF_CONOI,07/08/2019 10:15:00,1094.5000,1094.6000,1091.2000,1092.8000,14109.0000,1096.3314,1096.3314,1096.3314
S50IF_CONOI,07/08/2019 10:30:00,1092.7000,1094.2000,1092.4000,1093.6000,7732.0000,1096.8286,1096.8286,1096.8286
S50IF_CONOI,07/08/2019 10:45:00,1093.6000,1095.3000,1093.3000,1094.6000,4997.0000,1097.3258,1097.3258,1097.3258
S50IF_CONOI,07/08/2019 11:00:00,1094.6000,1095.6000,1094.3000,1095.6000,3253.0000,1097.8229,1097.8229,1097.8229
S50IF_CONOI,07/08/2019 11:15:00,1095.6000,1096.8000,1095.0000,1096.7000,3941.0000,1098.3201,1098.3201,1098.3201
S50IF_CONOI,07/08/2019 11:30:00,1096.7000,1097.9000,1094.2000,1094.5000,7728.0000,1098.8171,1098.8171,1098.8171
S50IF_CONOI,07/08/2019 11:45:00,1094.4000,1095.6000,1094.3000,1095.4000,3074.0000,1099.3143,1099.3143,1099.3143
S50IF_CONOI,07/08/2019 12:00:00,1095.4000,1096.1000,1094.5000,1094.9000,3320.0000,1099.8115,1099.8115,1099.8115
S50IF_CONOI,07/08/2019 12:15:00,1094.9000,1096.2000,1094.6000,1096.0000,3842.0000,1100.3086,1100.3086,1100.3086
S50IF_CONOI,07/08/2019 14:15:00,1100.0000,1102.2000,1096.4000,1097.9000,13777.0000,1100.8058,1100.8058,1100.8058
S50IF_CONOI,07/08/2019 14:30:00,1097.9000,1101.8000,1097.9000,1100.6000,13287.0000,1101.3029,1101.3029,1101.3029
S50IF_CONOI,07/08/2019 14:45:00,1100.5000,1101.8000,1099.2000,1101.8000,8698.0000,1101.8000,1101.8000,1101.8000
S50IF_CONOI,07/08/2019 15:00:00,1101.8000,1102.8000,1099.7000,1099.8000,8036.0000,1101.3834,1101.4481,1101.4481
S50IF_CONOI,07/08/2019 15:15:00,1099.9000,1100.6000,1099.1000,1100.1000,4235.0000,1100.9667,1101.0962,1101.0962
S50IF_CONOI,07/08/2019 15:30:00,1100.1000,1100.4000,1096.7000,1097.4000,9170.0000,1100.5500,1100.7443,1100.7443
S50IF_CONOI,07/08/2019 15:45:00,1097.5000,1098.9000,1097.4000,1098.4000,5159.0000,1100.1334,1100.3923,1100.3923
S50IF_CONOI,07/08/2019 16:00:00,1098.3000,1099.0000,1092.0000,1093.5000,18435.0000,1099.7167,1100.0404,1100.0404
S50IF_CONOI,07/08/2019 16:15:00,1093.5000,1094.8000,1093.5000,1093.8000,5540.0000,1099.3000,1099.6885,1099.6885
S50IF_CONOI,07/08/2019 16:30:00,1093.9000,1094.8000,1093.4000,1094.2000,6526.0000,1098.8834,1099.3365,1099.3365
S50IF_CONOI,07/08/2019 16:45:00,1094.1000,1094.2000,1092.9000,1093.1000,6627.0000,1098.4667,1098.9846,1098.9846
S50IF_CONOI,08/08/2019 09:45:00,1096.1000,1097.4000,1094.5000,1094.5000,9141.0000,1098.0500,1098.6327,1098.6327
S50IF_CONOI,08/08/2019 10:00:00,1094.6000,1096.0000,1091.3000,1091.7000,12554.0000,1097.6334,1098.2808,1098.2808
S50IF_CONOI,08/08/2019 10:15:00,1091.6000,1094.5000,1089.5000,1094.4000,17387.0000,1097.2167,1097.9288,1097.9288
S50IF_CONOI,08/08/2019 10:30:00,1094.3000,1095.7000,1093.7000,1095.4000,8440.0000,1096.8000,1097.5769,1097.5769
S50IF_CONOI,08/08/2019 10:45:00,1095.4000,1096.7000,1094.6000,1095.7000,8010.0000,1096.3834,1097.2251,1097.2251
S50IF_CONOI,08/08/2019 11:00:00,1095.8000,1096.7000,1095.0000,1095.5000,4109.0000,1095.9667,1096.8732,1096.8732
S50IF_CONOI,08/08/2019 11:15:00,1095.5000,1096.0000,1094.3000,1095.2000,2961.0000,1095.5500,1096.5212,1096.5212
S50IF_CONOI,08/08/2019 11:30:00,1095.2000,1096.4000,1095.1000,1095.6000,2589.0000,1095.1334,1096.1693,1096.1693
S50IF_CONOI,08/08/2019 11:45:00,1095.6000,1096.9000,1095.4000,1096.7000,3236.0000,1094.7167,1095.8174,1095.8174
S50IF_CONOI,08/08/2019 12:00:00,1096.7000,1096.9000,1092.7000,1094.3000,8501.0000,1094.3000,1095.4655,1095.4655
S50IF_CONOI,08/08/2019 12:15:00,1094.3000,1095.4000,1093.3000,1095.0000,4030.0000,1093.8834,1095.1135,1095.1135
S50IF_CONOI,08/08/2019 14:15:00,1095.1000,1095.1000,1092.8000,1093.0000,3686.0000,1093.4667,1094.7616,1094.7616
S50IF_CONOI,08/08/2019 14:30:00,1092.9000,1095.5000,1092.2000,1094.9000,6638.0000,1093.0500,1094.4097,1094.4097
S50IF_CONOI,08/08/2019 14:45:00,1094.9000,1094.9000,1092.6000,1092.9000,4036.0000,1092.6334,1094.0577,1094.0577
S50IF_CONOI,08/08/2019 15:00:00,1092.8000,1093.0000,1090.0000,1091.2000,14006.0000,1092.2167,1093.7058,1093.7058
S50IF_CONOI,08/08/2019 15:15:00,1091.2000,1093.5000,1090.5000,1092.0000,7267.0000,1091.8000,1093.3539,1093.3539
S50IF_CONOI,08/08/2019 15:30:00,1092.1000,1092.5000,1091.3000,1091.6000,2899.0000,1091.3834,1093.0020,1093.0020
S50IF_CONOI,08/08/2019 15:45:00,1091.6000,1093.5000,1091.5000,1092.4000,4345.0000,1090.9667,1092.6500,1092.6500
S50IF_CONOI,08/08/2019 16:00:00,1092.3000,1093.7000,1091.9000,1093.0000,4761.0000,1090.5500,1092.2981,1092.2981
S50IF_CONOI,08/08/2019 16:15:00,1093.0000,1093.4000,1092.1000,1092.3000,4233.0000,1090.1334,1091.9462,1091.9462
S50IF_CONOI,08/08/2019 16:30:00,1092.3000,1092.5000,1090.6000,1091.0000,6154.0000,1089.7167,1091.5942,1091.5942
S50IF_CONOI,08/08/2019 16:45:00,1091.1000,1091.2000,1088.8000,1089.3000,7015.0000,1089.3000,1091.2423,1091.2423
S50IF_CONOI,09/08/2019 09:45:00,1092.5000,1095.7000,1092.1000,1095.3000,11991.0000,1095.3000,1090.8904,1090.8904
S50IF_CONOI,09/08/2019 10:00:00,1095.2000,1096.5000,1093.7000,1094.4000,10543.0000,1094.7382,1090.5385,1090.5385
S50IF_CONOI,09/08/2019 10:15:00,1094.5000,1095.2000,1094.2000,1094.4000,3533.0000,1094.1763,1090.1865,1090.1865
S50IF_CONOI,09/08/2019 10:30:00,1094.3000,1094.4000,1093.2000,1093.9000,4033.0000,1093.6144,1089.8346,1089.8346
S50IF_CONOI,09/08/2019 10:45:00,1094.0000,1094.4000,1093.7000,1093.8000,2196.0000,1093.0524,1089.4827,1089.4827
S50IF_CONOI,09/08/2019 11:00:00,1093.9000,1094.0000,1091.5000,1091.8000,6007.0000,1092.4905,1089.1307,1089.1307
S50IF_CONOI,09/08/2019 11:15:00,1091.9000,1093.2000,1091.4000,1092.3000,4396.0000,1091.9286,1088.7788,1088.7788
S50IF_CONOI,09/08/2019 11:30:00,1092.2000,1092.5000,1091.5000,1092.0000,2780.0000,1091.3667,1088.4269,1088.4269
